time,ais_frequency,resonance,beat_frequency,intermod_frequency,topology_mismatch,spike_rate,scorch_depth,noise_level,island_Delta_power,island_Delta_freq,island_Theta_power,island_Theta_freq,island_Alpha_power,island_Alpha_freq,island_Beta_3_power,island_Beta_3_freq,island_Beta_power,island_Beta_freq,island_Gamma_power,island_Gamma_freq
1.0,7.668200895226112,0.6010478569348293,1.6682008952261116,1.1658995523869442,0.7347235262163021,104.0,0.0,0.1,0.0,2,0.26527647378369784,6,0.4965243091859954,10,0.13271068312631176,15,0.0507538254657721,22,0.05473470829656145,40
1.5,8.517722839955043,0.6844091254187031,1.4822771600449567,1.2588614199775217,0.44664982385018914,132.5,0.0,0.1,0.0,2,0.26423759721823065,6,0.5533501761498109,10,0.09124217385129456,15,0.05645339916830826,22,0.034716653489644866,40
2.0,10.0,0.759735961285605,0.0,2.0,0.34188532689246687,143.5,0.00151947192257121,0.1,0.0,2,0.20209207046339356,6,0.6581146731075331,10,0.07429637516239856,15,0.038123309637990085,22,0.027373571536396253,40
2.5,9.071863284295912,0.7816802860704387,0.9281367157040883,1.5359316421479559,0.33627622289419457,148.0,0.003082832494712088,0.1,0.0,2,0.2373660004101488,6,0.6637237771058054,10,0.05952982985456422,15,0.016579213631876453,22,0.022801178918796752,40
3.0,9.012590917595704,0.752807024080871,0.9874090824042963,1.5062954587978519,0.40745012937905556,142.5,0.00458844654287383,0.1,0.0,2,0.29955227699422865,6,0.5925498706209444,10,0.07747500249540547,15,0.0068976061095343605,22,0.023525243693770865,40
3.5,8.900957012761594,0.7241006190972551,1.0990429872384055,1.4504785063807972,0.46923021621826,134.0,0.00603664778106834,0.1,0.0,2,0.34644598479294986,6,0.53076978378174,10,0.08461399228511918,15,0.012798878377997978,22,0.025371360669218645,40
4.0,7.5612135736154285,0.6936134621394916,1.5612135736154285,1.2193932131922858,0.5735252862463492,127.5,0.006024580522153985,0.1,0.0,2,0.42647471375365076,6,0.4411230077722984,10,0.08977470668415985,15,0.010611067854017362,22,0.03201650383434274,40
4.5,5.461298359243842,0.6572474252364575,0.538701640756158,1.730649179621921,0.4129980546848342,143.0,0.006012537385690199,0.1,0.0,2,0.5870019453151658,6,0.24828631572330326,10,0.09061305976451972,15,0.03716200434597095,22,0.03693667473868851,40
5.0,6.000000000000001,0.6182389266629479,8.881784197001252e-16,1.9999999999999996,0.4667170107256653,119.0,0.0060005183234562035,0.1,0.0,2,0.5332829892743347,6,0.20189710699091326,10,0.1758507354382941,15,0.04516963048188474,22,0.043799537698322726,40
5.5,6.000000000000001,0.6818200614299216,8.881784197001252e-16,1.9999999999999996,0.3819172822675082,143.0,0.005988523287327615,0.1,0.0,2,0.6180827177324918,6,0.15076956284789347,10,0.15789972539725491,15,0.023839855209246814,22,0.04940813867212929,40
6.0,5.773531559938253,0.6651041610282759,0.2264684400617467,1.8867657799691266,0.39211339047340754,176.5,0.005976552229276247,0.1,0.0,2,0.6078866095265925,6,0.15562871307268727,10,0.14234151227681816,15,0.03798357625410607,22,0.05615958873346368,40
6.5,7.006606153358579,0.5687573355464883,1.0066061533585788,1.4966969233207106,0.5769727668874327,97.0,0.005964605101369923,0.1,0.0,2,0.42302723311256735,6,0.26995805410254775,10,0.1665866617543414,15,0.07142284910353258,22,0.0690052018085489,40
7.0,8.21301809383617,0.5834736335855284,1.7869819061638292,1.1065090469180854,0.7722616079876049,104.0,0.005952681855772285,0.1,0.0,2,0.5009484127458821,6,0.2277383920123951,10,0.1439140107215209,15,0.0690316206375585,22,0.05836756377248861,40
7.5,7.208745524147784,0.6184483063023126,1.2087455241477842,1.3956272379261079,0.5694233277767577,115.0,0.005940782444742596,0.1,0.0,2,0.4305766722232423,6,0.33381797143354536,10,0.14296361296501545,15,0.05066074604227037,22,0.04198099721954378,40
8.0,7.5629889209605246,0.5509514972422348,1.5629889209605246,1.2185055395197377,0.6700329088920369,103.0,0.0059289068206355554,0.1,0.0,2,0.3299670911079631,6,0.3517354334550406,10,0.21548441672928562,15,0.06883111353945948,22,0.033981945068075906,40
8.5,8.109303200877964,0.5531107936238187,1.8906967991220363,1.0546516004389819,0.6796911728297984,96.0,0.005917054935901105,0.1,0.0,2,0.3513899752364744,6,0.3203088271702016,10,0.22454215099120814,15,0.053318458051725415,22,0.05044058839173785,40
9.0,7.240569147741033,0.5322909520670224,1.2405691477410334,1.3797154261294833,0.6519514058140813,102.0,0.005905226743084239,0.1,0.0,2,0.3480485941859187,6,0.3154149245135017,10,0.1743307258619808,15,0.06902266274054021,22,0.09318309247805316,40
9.5,2.6438639774329147,0.21020676030903587,0.6438639774329147,1.6780680112835427,1.0,43.5,0.005893422194824813,0.1,0.0,2,0.3615895967089237,6,0.33891879694695515,10,0.1934557337592869,15,0.02878936473586643,22,0.07724650761295265,40
